Date,A,AAL,AAP,AAPL,ABBV,ABC,ABT,ACN,ADBE,ADI,ADM,ADP,ADS,ADSK,AEE,AEP,AES,AET,AFL,AGN,AIG,AIV,AIZ,AJG,AKAM,ALB,ALGN,ALK,ALL,ALLE,ALXN,AMAT,AMD,AME,AMG,AMGN,AMP,AMT,AMZN,ANDV,ANSS,ANTM,AON,AOS,APA,APC,APD,APH,APTV,ARE,ARNC,ATVI,AVB,AVGO,AVY,AWK,AXP,AYI,AZO,BA,BAC,BAX,BBT,BBY,BDX,BHGE,BIIB,BK,BKNG,BLK,BLL,BMY,BSX,BWA,BXP,C,CA,CAH,CAT,CB,CBG,CBOE,CBS,CCL,CDNS,CELG,CERN,CF,CFG,CHD,CHK,CHRW,CHTR,CI,CINF,CLX,CME,CMG,CMS,CNC,CNP,COF,COG,CPB,CSCO,CTAS,CTL,CTXS,CVX,DIS,FOX,FOXA,FTI,GOOG,GOOGL,HRB,KMX,KO,LNT,LUV,MMM,MO,SBUX,SCHW,SEE,SHW,SIG,SLG,SNA,SNI,SNPS,SO,SPG,SPGI,SRCL,SRE,STI,STT,STX,SWK,SWKS,SYF,SYK,SYMC,SYY,T,TDG,TEL,TGT,TIF,TJX,TMK,TMO,TPR,TRIP,TROW,TRV,TSCO,TSN,TSS,TWX,TXN,TXT,UA,UAA,UAL,UDR,UHS,ULTA,UNH,UNM,UNP,UPS,URI,USB,UTX,V,VAR,VFC,VIAB,VLO,VMC,VNO,VRSK,VRSN,VRTX,VTR,VZ,WAT,WBA,WDC,WEC,WELL,WFC,WHR,WLTW,WM,WMB,WMT,WRK,WU,WY,WYN,WYNN,XEC,XEL,XL,XLNX,XRX,XYL,YUM,ZBH,ZION,ZTS
2016-01-04,39.889591,40.034653,151.68544,101.014183,53.132004,98.035957,40.73167,97.839996,91.970001,51.542179,33.433891,78.374161,268.013,60.310001,40.301029,53.878357,8.579828,106.657021,56.109718,302.181702,57.88623,36.794933,74.469009,37.679157,52.310001,54.063812,64.269997,75.64238,58.223675,63.54567,184.679993,17.972248,2.77,51.954788,155.005814,148.945877,98.002861,92.90313,636.98999,101.126297,90.099998,134.169403,88.352615,36.332386,42.438011,48.75106,113.67511,49.952255,68.137856,83.869637,21.375635,37.089252,169.985245,137.437363,58.486866,57.630489,65.022064,231.870605,735.47998,131.570923,15.865641,36.278835,34.291008,28.983343,143.378281,31.865,294.619995,38.412701,1245.369995,315.512573,35.256458,63.666355,17.99,40.912956,118.700668,49.733368,26.202223,83.161293,63.088196,109.066879,34.09,62.225239,45.393265,50.710793,20.530001,117.620003,58.16,36.993958,24.729378,39.850052,4.95,58.606647,177.529999,146.469498,54.158325,118.437675,80.307381,448.809998,33.283779,66.029999,16.576563,67.507698,17.371107,48.847198,24.650116,86.22097,20.163416,59.061951,81.005676,99.902618,25.928949,25.909719,27.101942,741.840027,759.440002,30.646891,52.369999,39.730186,28.695478,41.17284,138.889206,53.412285,56.050808,31.372801,41.729504,248.624741,120.459618,103.721512,161.999817,52.009632,44.919998,42.378139,175.809906,92.247459,117.870003,87.926338,39.462845,62.555809,31.285666,100.636772,75.532188,29.034159,87.710098,16.170408,38.316303,30.724543,193.543793,60.535976,67.760277,71.177696,68.474571,55.398186,137.711884,31.231619,82.980003,66.238487,105.065392,81.044426,51.436729,47.501842,62.289242,51.328594,41.350056,79.660004,39.830002,55.610001,34.369614,117.020554,181.809998,112.392738,31.2815,74.878876,88.563148,70.760002,39.586609,90.4366,74.318298,68.968239,57.303589,38.624725,63.930439,90.802895,74.025085,75.300003,83.949997,122.889999,51.592014,41.38694,130.350006,79.480682,56.82489,47.575958,68.389999,49.553425,140.160019,121.226837,49.690174,23.261566,57.875553,38.017017,16.460012,27.336096,67.269424,65.935493,89.329185,33.49226,36.303345,43.403381,25.844584,35.019852,49.407043,100.141838,26.077538,46.464733
2016-01-05,39.75235,39.652996,150.649216,98.482841,52.91066,99.469872,40.722183,98.349213,92.339996,51.163475,33.807045,78.565155,270.321167,60.389999,40.778687,54.32172,8.698108,108.140808,56.033871,303.420044,58.087387,37.732204,75.711426,37.782269,52.02,53.236553,64.949997,74.378456,58.089317,63.476749,184.899994,17.991711,2.75,51.688347,153.753738,148.78598,97.617424,94.738144,633.789978,100.35202,89.419998,136.1259,88.888306,36.129417,41.578362,48.145767,111.64254,49.392536,66.247581,85.027298,20.407019,36.616024,173.898163,132.839371,58.936035,57.468075,64.021568,234.813568,738.859985,132.104721,15.865641,36.425236,34.300358,29.456152,143.83374,30.96806,296.700012,38.268547,1210.689941,316.327179,35.67205,64.920105,18.18,40.254478,121.625198,49.470734,25.941685,84.797104,62.429379,110.169731,34.389999,61.359787,44.877541,50.224274,20.540001,117.959999,58.080002,35.833904,24.614359,39.511253,5.01,60.200104,175.169998,144.060837,54.478348,120.148827,80.941376,449.029999,33.54549,66.970001,16.730808,66.286201,17.351358,49.026848,24.538113,86.357689,20.067055,58.568245,81.698586,97.884766,25.919205,25.909719,26.721663,742.580017,761.530029,30.925922,52.119999,39.870743,28.82449,41.66346,139.494598,54.491879,56.426014,31.274698,42.136711,249.62999,121.183342,104.512985,161.817139,51.584599,44.970001,42.675503,179.310745,92.558853,120.529999,88.973747,39.643177,62.651836,31.337423,98.563957,71.034958,29.199017,88.557762,16.201443,38.344604,30.939215,191.632416,60.373764,68.948723,70.967567,69.547646,56.076889,137.473663,31.537998,81.93,66.512161,105.543091,80.986374,50.795712,47.807098,62.864925,50.79018,41.449692,80.150002,40.075001,55.060001,34.806557,117.526665,182.669998,112.605057,31.119125,74.158264,89.440933,70.050003,39.777485,90.578537,74.877899,69.13485,57.633076,38.378708,65.045586,90.930618,75.002853,75.029999,81.410004,123.449997,52.501293,41.955364,129.809998,77.394386,56.580273,48.085835,70.089996,49.534691,137.140793,122.060883,49.879646,23.341354,59.250408,37.991966,16.394623,27.400248,67.800896,67.181908,89.904861,33.830002,36.379353,44.047802,25.794401,35.010139,49.283886,102.227112,25.794411,47.192116
2016-01-06,39.928806,40.347797,146.663788,96.555573,52.91988,97.949341,40.380615,98.157059,91.019997,48.985897,32.986122,77.600655,266.503845,59.540001,41.040928,54.524925,8.397859,107.594162,55.180557,298.230865,57.234859,37.305332,74.715599,37.051174,50.48,50.9105,64.870003,75.449417,57.436733,61.812523,184.070007,17.252193,2.51,50.514061,146.996643,147.421982,94.298958,94.401886,632.650024,100.437004,88.290001,132.800812,87.544174,35.414169,36.802536,43.432404,108.923615,48.22401,64.487213,84.453178,18.954092,36.270962,172.600113,128.753311,58.247955,57.219662,62.243732,228.61937,729.200012,130.00705,15.527665,36.513077,33.823189,28.321409,142.399506,29.437193,293.679993,37.307503,1196.709961,312.727814,35.33469,63.780338,18.0,38.937515,121.606079,48.750946,25.374098,82.489952,61.445805,108.117477,32.91,60.737438,44.887272,50.07457,20.200001,116.709999,57.619999,32.737373,24.230959,39.32515,4.68,59.906071,174.309998,142.951431,53.734776,120.092087,80.54287,426.670013,33.592216,65.970001,16.522125,65.417786,15.820649,48.94175,24.276772,85.967056,19.850245,58.918617,78.471123,97.360901,25.821764,26.036394,25.144892,743.619995,759.330017,30.702698,48.310001,39.65522,28.861351,42.046143,136.685043,55.068909,55.925732,30.205395,41.477421,242.407928,122.852768,102.939461,161.288452,50.13559,44.310001,42.684509,178.872009,91.546837,120.010002,86.812859,39.1022,60.567924,29.974548,97.201286,67.022339,28.995373,88.421371,16.178165,38.211498,30.893862,193.745865,59.238235,68.248543,69.64946,67.759171,54.994892,136.4216,30.442476,80.099998,65.021103,104.176857,79.873512,50.756863,47.167046,65.83931,50.459579,40.204212,79.870003,39.935001,55.200001,34.55555,114.81749,183.210007,111.456604,30.269032,70.953377,88.170959,66.699997,39.176235,88.118187,73.896164,68.775322,56.663429,37.905602,64.588562,88.81823,74.649368,74.639999,81.019997,122.230003,52.019375,41.576321,129.710007,76.207657,55.319588,47.956043,69.940002,48.588768,133.638962,116.376869,50.495445,20.300682,59.843666,36.939651,16.020954,26.795427,66.073601,63.701523,84.406158,34.186497,36.065823,43.242279,25.468208,34.57336,48.93494,102.669739,25.042643,47.201954
2016-01-07,38.232834,39.584499,148.287842,92.480476,52.763092,94.821655,39.412853,95.274612,89.110001,47.73616,32.202518,75.232315,258.464722,55.98,41.069023,53.896832,8.188594,107.642967,54.24192,297.936005,55.865051,37.0919,73.036926,36.282593,48.189999,48.613636,63.5,71.387497,56.083588,60.030125,174.369995,16.746204,2.28,49.320038,138.122986,143.903839,91.309517,92.048073,607.940002,101.060188,87.230003,130.52626,86.268227,33.684059,34.911301,39.800629,105.272003,46.485943,60.877041,81.657837,18.205612,35.758301,171.810013,124.657646,56.499081,56.789726,61.683323,222.554382,735.960022,124.556938,14.967587,35.907944,32.859486,28.586182,140.063934,28.675127,284.01001,36.365688,1167.189941,299.059723,34.400845,62.013668,17.639999,36.516624,119.446152,46.260887,24.545973,80.371925,59.330181,107.005035,31.07,61.1264,44.118549,49.017319,19.75,111.889999,57.669998,31.184538,23.569586,38.690487,4.41,59.83968,173.630005,141.292358,52.539413,118.778023,79.274902,416.0,33.797848,63.57,16.195496,62.106342,16.373676,48.344337,23.716751,84.844009,19.448742,56.481922,75.690392,96.526596,25.256607,25.227629,24.885187,726.390015,741.0,30.432966,47.110001,38.999302,28.557255,41.163025,133.355148,54.110298,54.540337,28.625967,40.16853,235.761658,128.613785,100.244659,157.876038,50.37709,43.279999,42.324078,175.096939,88.666565,119.510002,82.094765,37.469772,57.83099,29.793415,94.437523,65.093567,28.238968,86.170639,15.906589,37.831188,30.394991,191.371399,56.098839,68.064293,67.739159,67.662506,54.070278,133.305084,30.535309,77.690002,63.284683,101.692833,79.815468,50.669449,45.739235,67.355278,48.8349,39.377216,78.0,39.0,52.630001,34.160278,112.038841,182.979996,108.175354,29.428484,69.294037,86.471397,62.360001,38.431843,86.963722,72.443176,67.34597,55.966789,36.798515,65.895668,86.754997,73.91227,73.040001,80.550003,114.959999,51.1101,41.34798,128.820007,77.68148,54.407001,47.946777,67.940002,47.20266,130.279037,111.497925,49.898594,18.270617,61.237347,36.572178,15.927539,25.805714,65.361801,57.709129,81.24987,34.317841,35.315243,41.536469,24.765638,33.680397,47.265457,100.309067,24.290873,45.766827
2016-01-08,37.830906,39.506207,145.029785,92.96949,51.324356,94.273102,38.587395,94.352219,87.849998,47.319588,32.081245,74.611603,253.513016,55.060001,40.75058,53.813686,8.306874,104.519196,53.76786,294.309479,55.03167,36.38662,72.145409,35.898308,48.099998,47.698788,64.529999,67.904465,55.882061,58.858284,168.130005,16.337526,2.14,48.422062,133.383087,141.768555,89.250763,90.530121,607.049988,95.951942,85.400002,127.345772,84.758499,32.485546,35.006821,40.247162,104.726463,45.788757,59.692577,80.537811,17.765335,35.2062,168.762466,123.836571,57.043804,57.009472,61.480419,214.242432,712.059998,121.728874,14.677892,35.332092,32.148403,27.375782,137.961014,28.041201,280.589996,35.702572,1136.959961,291.52948,34.11726,60.436966,17.43,35.441761,116.101128,44.869942,24.518061,79.293991,58.727039,105.451454,30.719999,60.824947,45.208378,48.699207,19.24,108.980003,58.740002,30.892239,22.831543,39.158127,4.44,59.86813,174.889999,138.663803,52.266457,119.288521,78.097511,413.290009,33.741772,62.549999,16.159199,61.295181,16.985964,48.620216,23.128733,82.646736,19.24799,55.486542,74.878967,96.284065,25.266352,25.227629,24.115351,714.469971,730.909973,30.033022,46.799999,38.896221,28.54804,41.418152,132.901108,54.203369,54.482613,28.449379,40.110348,235.956848,122.486084,98.247116,156.222672,51.739159,42.349998,42.008694,170.106186,86.126831,118.239998,82.877968,36.928799,56.323273,28.068256,92.547058,64.831871,27.967442,85.63475,15.898832,37.840698,30.422199,186.496185,55.48814,65.761086,65.198463,64.704277,53.529282,133.156235,29.662611,76.18,61.680401,101.262886,79.215485,50.795712,44.833309,68.28598,47.569164,38.928837,75.0,37.5,51.889999,33.710674,111.522812,182.169998,106.312767,29.055977,70.033607,85.341484,61.810001,37.887859,85.544296,71.549782,67.126747,54.808849,38.776115,62.394772,84.740845,72.317749,73.370003,78.150002,110.709999,51.155567,40.946106,126.720001,77.566643,52.111427,47.715015,68.089996,46.415943,128.300995,113.117775,49.595428,18.004667,59.834251,35.018761,15.796756,25.56745,65.162514,55.360107,81.706436,33.942577,34.631172,40.683563,24.063066,33.360092,46.622292,99.886101,24.017504,45.098415
2016-01-11,37.193687,40.201019,146.514343,94.474876,49.691933,90.519882,38.644329,95.341873,89.379997,48.446236,31.86668,74.974495,249.675964,55.23,40.759956,54.284779,8.21589,102.810883,54.118675,294.221008,55.26157,36.61861,73.406799,35.298439,45.459999,46.754738,61.0,68.18428,55.680523,58.582554,161.649994,16.230492,2.34,47.563545,134.982925,138.927719,89.927612,90.770294,617.73999,95.43261,85.269997,123.71228,84.164368,31.64465,33.488106,37.458836,105.140022,45.435249,61.526085,79.530731,17.611237,35.699146,169.815948,123.682022,57.06292,57.56361,61.886234,205.144974,718.690002,121.934891,14.784116,34.736713,32.447803,27.829685,136.788391,27.993988,278.540009,35.962048,1136.280029,292.040955,33.814133,59.819592,17.129999,35.722584,117.247986,45.570271,24.378487,74.953903,57.038261,105.767929,30.09,61.50565,45.51976,50.467537,19.280001,103.029999,57.259998,29.640842,22.90822,39.425354,4.17,58.568718,175.630005,134.655991,52.605301,120.706596,78.749619,411.100006,33.723083,60.82,15.968667,61.800953,15.800897,48.896091,23.586079,83.310806,19.368443,54.841534,73.639038,96.934044,25.33456,25.217884,23.595943,716.030029,733.070007,30.12603,46.990002,38.961819,28.640192,41.251343,132.872742,55.338806,55.627491,28.194319,40.052177,236.152039,121.762344,98.66169,156.732147,51.951675,42.09,42.20694,170.663788,86.087898,119.419998,84.633095,36.738979,56.121597,27.04179,92.403114,64.017715,27.831676,85.283981,15.797958,38.144936,30.794086,192.44075,55.268661,66.719215,64.797295,65.545326,53.548958,133.870819,30.423906,76.949997,61.350105,102.027214,79.979958,51.203632,44.764374,66.789192,48.372047,38.749485,69.959999,34.98,51.619999,34.094711,113.58696,182.0,105.753014,28.884047,70.934402,85.59362,60.959999,38.040558,85.638916,72.570793,66.74968,53.142555,38.766659,63.135166,84.357689,71.964256,74.040001,78.07,103.949997,51.446533,41.183578,126.080002,77.537926,49.674728,48.10437,68.550003,46.912323,127.212578,111.517319,50.078602,16.568548,60.47459,33.206432,15.75939,25.301699,65.637039,54.449268,80.138214,34.214642,34.289139,40.863617,23.586319,33.078613,46.540188,98.164772,23.539106,43.820564
2016-01-12,37.43877,41.10133,147.530609,95.846016,50.577316,90.635368,39.336941,97.052124,89.82,48.900696,31.969296,75.891251,253.78923,54.790001,40.62883,53.730568,7.961133,106.803169,54.801311,290.938477,55.520206,36.358776,73.776672,35.504642,46.880001,47.640385,61.77,68.541267,56.285122,59.193096,166.119995,16.298601,2.39,47.829979,135.509583,141.843811,90.388252,90.770294,617.890015,98.812935,86.410004,130.690094,84.885124,32.084427,33.831963,37.042072,106.653481,46.574318,60.80402,78.627197,16.026237,36.596306,168.847107,125.498055,57.244507,57.506294,62.224407,207.908981,728.98999,123.536201,14.784116,34.629345,32.653645,28.491617,138.048218,27.677029,278.670013,36.250359,,297.032715,34.513294,60.256504,17.790001,36.216442,115.651939,45.599449,24.908861,75.540146,57.158886,107.503723,30.33,61.904335,45.753296,51.159897,19.139999,106.849998,59.16,29.723051,22.90822,39.955036,4.05,59.73534,175.320007,139.003601,52.962967,121.38726,79.021324,404.26001,33.564178,63.040001,15.696473,62.793442,15.287368,50.874763,23.660751,84.814713,18.790281,,74.897202,98.428032,25.782787,25.744068,23.419714,726.070007,745.340027,30.060925,47.66,39.467815,28.409817,41.87933,133.251114,55.264355,57.205303,28.684828,40.401215,240.495026,122.505379,97.022209,158.443146,52.627876,42.02,41.855518,169.594315,86.331184,121.019997,83.925377,37.384354,56.995499,27.231552,93.957718,64.579872,28.025625,86.453194,16.022978,38.696392,30.748737,193.080673,55.783943,67.585236,65.341743,66.628098,53.735844,135.94519,30.256792,77.360001,62.954391,103.164154,81.925034,52.038895,45.788471,68.209213,48.674313,38.938808,72.150002,36.075001,50.860001,33.738777,111.44342,185.619995,108.339424,28.83629,72.318764,86.844917,61.279999,38.765869,85.638916,73.395477,66.960083,54.338146,39.447937,65.073013,85.192818,70.911255,74.529999,79.290001,103.639999,50.819138,41.037441,126.82,78.303543,49.26078,47.789181,0.02,48.101753,127.117935,112.07991,50.400707,14.66259,59.90958,32.028839,15.908854,24.761026,66.035652,53.327488,79.473206,34.083309,34.137115,41.091061,23.912516,33.263035,47.600719,101.184479,23.441475,44.203918
2016-01-13,36.134933,39.241978,141.642151,93.381798,47.697567,89.634521,38.458546,95.370689,88.300003,47.433193,31.223009,73.857162,245.207581,50.869999,40.404049,53.527355,7.861051,102.624977,53.957485,282.388062,54.284508,35.672058,74.402618,34.679821,45.82,46.433563,58.860001,65.280151,55.574963,57.912922,157.919998,15.763425,2.25,46.76424,130.332458,136.830017,86.872375,88.531784,581.809998,86.792984,84.449997,129.28299,83.677353,30.562119,34.003895,34.591125,104.31292,45.710197,56.909969,76.500099,15.696025,34.368191,166.486221,119.113014,56.069031,57.410748,60.726768,198.423767,704.200012,119.977715,14.388197,33.994942,31.549593,27.668926,137.011307,26.469868,267.25,35.039452,,288.526855,33.559887,58.204899,17.549999,32.7691,113.472893,43.955624,24.518061,73.913795,56.500072,105.547356,29.09,60.980541,43.729328,49.007965,18.66,100.669998,58.330002,29.010576,22.256437,37.530918,3.64,59.460278,167.990005,135.185699,51.993507,121.113106,76.231804,428.279999,33.769814,61.259998,15.487791,60.732132,15.504629,50.21838,22.960728,82.822517,18.485138,,74.149597,95.537086,25.149422,25.217884,22.955959,700.559998,719.570007,29.344746,46.240002,39.214817,28.428247,39.642105,131.22673,53.775249,55.675587,27.183872,39.528618,235.361511,119.677971,96.249573,155.251785,52.743797,40.529999,42.170898,168.433456,82.098305,116.309998,85.152077,36.160034,54.556271,26.800266,92.345558,60.24741,26.735863,87.018318,15.712606,38.068882,30.603609,186.15097,54.495743,66.000626,63.708427,65.438995,52.644016,132.769135,29.263399,72.940002,61.217987,101.329765,78.915489,51.592129,44.262184,67.787048,47.059082,37.812889,71.870003,35.935001,48.060001,33.710674,108.267838,179.089996,105.415245,27.957542,70.024132,84.613106,57.740002,37.229355,84.058617,71.76577,66.039337,53.312008,38.59634,59.44231,82.088104,69.895874,71.889999,76.089996,96.370003,49.591621,40.325008,123.919998,76.494766,47.031059,48.058022,0.02,46.575161,123.000862,109.460976,49.510166,12.065166,58.308731,31.703123,15.49782,24.513597,63.966682,50.307331,79.493057,33.876907,33.282017,39.716934,23.134672,32.399181,47.545624,99.54184,22.347996,42.513218
2016-01-14,36.870182,39.682354,140.805222,95.424118,50.84758,90.192688,39.241463,97.888031,89.800003,47.811901,31.12039,75.432877,252.753479,52.650002,40.937908,54.62653,8.052118,105.922501,54.346214,293.975311,54.887981,35.087429,75.237236,35.335934,46.91,47.591728,59.990002,66.331818,56.064404,59.311268,167.289993,16.356985,2.21,47.356316,130.988297,144.073227,89.391762,88.589424,593.0,91.108086,84.900002,133.099594,85.118874,31.006735,35.369781,34.730042,104.16333,45.867306,56.31778,76.245979,15.938179,34.900574,165.714935,120.929039,57.27317,58.165527,61.151905,205.811111,712.609985,120.989059,14.475106,34.463432,31.830286,24.992817,140.916779,27.764696,280.570007,35.62569,,293.632294,33.647896,60.322983,18.16,31.820112,114.562416,44.140427,25.178696,77.327232,57.780586,106.46801,29.469999,61.50565,45.4711,48.596287,19.379999,105.620003,58.189999,29.79612,21.949718,37.330498,3.71,59.877613,172.309998,138.643814,52.887669,120.366257,76.7118,454.299988,34.311928,62.580002,15.995884,61.648266,16.107038,50.88427,23.016729,83.535408,19.18375,,77.924088,96.148254,26.094599,25.880487,23.670145,714.719971,731.390015,30.070229,47.060001,39.242931,28.856743,39.710789,133.553818,54.184753,56.743504,27.586088,40.061874,237.391495,120.141159,95.938629,156.760971,55.158802,41.25,42.477268,169.70401,82.614014,116.410004,87.699852,36.31189,55.161274,27.697348,93.871353,62.55418,27.32741,88.586998,15.891068,38.154449,31.111551,190.756744,54.810635,64.867447,63.861252,66.193054,53.02763,134.774002,29.486214,71.919998,61.888016,102.20874,80.318657,51.388168,45.158257,67.691101,47.257439,37.822842,69.870003,34.935001,47.830002,33.195511,110.331963,177.880005,106.891808,28.158125,71.512802,85.117378,57.139999,38.107365,84.228951,72.452995,66.697014,52.295292,39.201923,61.535542,83.817314,69.602531,72.349998,75.650002,101.910004,49.682549,40.982632,127.029999,78.351395,46.334858,49.133392,0.02,47.427429,126.852921,110.945038,50.002808,16.213951,59.382244,32.154114,16.002272,24.202023,63.340302,49.377312,84.326752,34.439804,33.690571,40.190773,23.034302,32.583595,48.220619,101.017265,22.445625,43.378223
2016-01-15,36.380016,37.930649,143.764374,93.132492,53.438419,89.278427,38.706795,95.380295,89.169998,47.168106,29.394592,74.411049,247.860992,49.400002,40.75058,54.21088,7.770067,102.781548,53.67305,290.162048,53.728924,35.087429,74.231911,35.251572,44.150002,46.628216,59.860001,66.312508,55.786091,57.784912,158.679993,15.64666,2.03,47.257633,127.391129,142.323547,87.267204,84.919418,570.179993,87.53891,84.970001,130.102188,83.852669,30.692598,33.74601,31.773029,103.670593,44.669323,54.735806,75.445961,15.189692,34.417484,165.263443,115.886688,56.327057,57.783356,60.784744,202.020599,704.73999,117.645943,13.963309,34.258461,31.006927,25.635841,138.028839,26.901478,273.329987,34.385944,1086.73999,280.920807,33.721237,59.62962,17.870001,30.086756,113.205284,41.309917,24.685545,76.816635,56.249165,104.895241,28.940001,62.059929,44.644009,46.622124,19.0,103.059998,56.77,28.837023,21.393787,37.664528,3.56,60.285458,165.080002,136.155182,51.88055,119.931374,76.720871,475.940002,33.82589,60.91,15.696473,59.978226,16.205793,50.40863,22.04603,82.060799,18.701948,52.795033,76.283005,91.093956,25.500208,25.432257,22.566402,694.450012,710.48999,29.64238,45.02,38.88686,28.759983,39.023926,131.198334,53.235455,55.800663,26.506977,39.693447,236.278885,117.265503,94.355682,151.204941,54.096203,40.959999,42.504292,168.342056,80.979271,115.160004,86.803421,35.533646,52.789257,26.645004,91.836922,58.803257,26.803747,88.772118,15.309122,37.897739,30.830372,183.776489,52.558666,64.563431,64.615822,65.264969,52.083344,131.766708,29.17984,70.629997,61.293476,100.41259,78.857437,50.00901,44.587135,66.827568,45.368275,37.21505,68.629997,34.314999,45.669998,33.513981,108.337288,170.449997,105.453842,27.145657,70.27066,84.080833,54.900002,37.267525,81.030495,70.518951,66.714607,51.758686,37.706886,60.703743,82.373032,68.323906,72.059998,74.25,97.910004,49.728016,40.580746,126.239998,76.494766,44.44384,48.901638,66.32,45.722889,121.751518,109.150589,48.809109,14.272533,58.318146,30.943115,15.54453,23.661346,62.078064,55.964146,83.691528,34.24279,33.728573,40.569847,22.833567,32.010937,46.209415,99.423805,21.811016,42.640995
